"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F2","F2 Arousal Level","aroused","composed","calm",1.6468225,0.166832127659574,1.47999037234043,1.6468225,0.166832127659574,"z","in","out",4,47,2.45216714629957,0.0802,3.4598087971568,-0.30411844218598,3.26409918686683,"T-test","two.sided",0.4812,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","charming",0.5924425,0.256566595744681,0.335875904255319,0.5924425,0.256566595744681,"z","in","out",4,47,0.731473883003489,0.505,4.05052804046235,-0.932755972823442,1.60450778133408,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","curious",0.15851,0.293497021276596,-0.134987021276596,0.15851,0.293497021276596,"z","in","out",4,47,-0.3629431281761,0.732,4.87740124994186,-1.09831997964841,0.828345937095215,"T-test","two.sided",0.894,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","devoted_loyal",0.541181428571429,0.241821136363636,0.299360292207792,0.541181428571429,0.241821136363636,"z","in","out",7,44,0.871109309416611,0.402,11.3076995347837,-0.454513709948224,1.05323429436381,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","energetic_exuberant_lively_peppy",-0.385765714285714,0.38929,-0.775055714285714,-0.385765714285714,0.38929,"z","in","out",7,44,-3.10330090680137,0.00509,22.5065355158576,-1.29233469162296,-0.257776736948472,"T-test","two.sided",0.12216,"ns","aroused"
"F2","F2 Arousal Level","aroused","composed","friendly",0.225878,0.29682,-0.070942,0.225878,0.29682,"z","in","out",10,41,-0.261373233559156,0.796,31.1894711022743,-0.624371073874015,0.482487073874015,"T-test","two.sided",0.918461538461538,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","gentle",0.356384,0.27492347826087,0.0814605217391305,0.356384,0.27492347826087,"z","in","out",5,46,0.141881733891536,0.893,4.81110443195512,-1.41202371836209,1.57494476184035,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","loyal",0.294548,0.281644782608696,0.0129032173913044,0.294548,0.281644782608696,"z","in","out",5,46,0.0332834232372275,0.974,6.30691124233416,-0.924629991530667,0.950436426313276,"T-test","two.sided",0.98218487394958,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","outgoing",1.0177225,0.220372553191489,0.797349946808511,1.0177225,0.220372553191489,"z","in","out",4,47,1.35379721641516,0.256,3.54576741060277,-0.923925471489904,2.51862536510693,"T-test","two.sided",0.787692307692308,"ns","neutral"
"F2","F2 Arousal Level","aroused","composed","playful",0.726725,0.223734444444444,0.502990555555555,0.726725,0.223734444444444,"z","in","out",6,45,1.06880432945079,0.322,6.67052284442165,-0.621066508033178,1.62704761914429,"T-test","two.sided",0.8,"ns","neutral"
