"qf","plotname","negative","positive","group","meanYes","meanNo","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","change"
"F7","F7 Environmental Engagement","high engagement","low engagement","calm",1.1090925,-0.17330862745098,1.28240112745098,1.1090925,-0.17330862745098,"z","in","out",4,51,1.65864509302071,0.189,3.22833840904887,-1.08256172113754,3.6473639760395,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","charming",0.82671,-0.151160980392157,0.977870980392157,0.82671,-0.151160980392157,"z","in","out",4,51,3.36889241158955,0.0151,5.99870176561247,0.267581267966902,1.68816069281741,"T-test","two.sided",0.2475,"ns","low engagement"
"F7","F7 Environmental Engagement","high engagement","low engagement","curious",-0.3393975,-0.059701568627451,-0.279695931372549,-0.3393975,-0.059701568627451,"z","in","out",4,51,-0.557866290105459,0.609,3.7120974346135,-1.71534437760693,1.15595251486183,"T-test","two.sided",0.892048192771084,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","devoted_loyal",-0.4239025,-0.021513829787234,-0.402388670212766,-0.4239025,-0.021513829787234,"z","in","out",8,47,-0.978777016135637,0.351,9.89487066712421,-1.31972806684765,0.514950726422114,"T-test","two.sided",0.8,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","energetic_exuberant_lively_peppy",-0.75831,0.0188708333333333,-0.777180833333333,-0.75831,0.0188708333333333,"z","in","out",7,48,-1.89098629800996,0.0938,8.32717791490635,-1.7184880845327,0.164126417866034,"T-test","two.sided",0.536,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","friendly",0.0771654545454546,-0.119345227272727,0.196510681818182,0.0771654545454546,-0.119345227272727,"z","in","out",11,44,0.430239374452511,0.674,12.8632068444966,-0.791299669968384,1.18432103360475,"T-test","two.sided",0.894,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","gentle",-0.077674,-0.08028,0.002606,-0.077674,-0.08028,"z","in","out",5,50,0.00412596388520659,0.997,4.54355426236528,-1.67130659419304,1.67651859419304,"T-test","two.sided",0.997,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","loyal",-0.608653333333333,-0.015315306122449,-0.593338027210884,-0.608653333333333,-0.015315306122449,"z","in","out",6,49,-1.20245183492338,0.273,6.21905260740283,-1.79050820269478,0.603832148273012,"T-test","two.sided",0.799024390243902,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","outgoing",0.226295,-0.104069607843137,0.330364607843137,0.226295,-0.104069607843137,"z","in","out",4,51,0.548791011377714,0.617,3.45806725128319,-1.44956307255012,2.1102922882364,"T-test","two.sided",0.892048192771084,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","playful",0.393752857142857,-0.149138333333333,0.54289119047619,0.393752857142857,-0.149138333333333,"z","in","out",7,48,0.857676024266237,0.421,6.72466878248838,-0.96638019515956,2.05216257611194,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F7","F7 Environmental Engagement","high engagement","low engagement","smart",-0.346574615384615,0.00245476190476192,-0.349029377289377,-0.346574615384615,0.00245476190476192,"z","in","out",13,42,-0.976772709878035,0.34,19.9204213363565,-1.09459589007704,0.396537135498285,"T-test","two.sided",0.8,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","active",0.5165775,0.0260890384615385,0.490488461538462,0.5165775,0.0260890384615385,"z","in","out",4,52,0.41022519784372,0.708,3.11168853517144,-3.23851433990096,4.21949126297789,"T-test","two.sided",0.894,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","affectionate",0.372328888888889,0.00153148936170212,0.370797399527187,0.372328888888889,0.00153148936170212,"z","in","out",9,47,0.817957685250359,0.43,11.3806132202411,-0.622899262878721,1.36449406193309,"T-test","two.sided",0.825230769230769,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","alert",0.935458333333333,-0.0437962,0.979254533333333,0.935458333333333,-0.0437962,"z","in","out",6,50,1.38921399316382,0.217,5.59954972730027,-0.775915733236678,2.73442479990334,"T-test","two.sided",0.750857142857143,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","bright_clever_intelligent_smart_very smart",0.149452272727273,0.00397029411764706,0.145481978609626,0.149452272727273,0.00397029411764706,"z","in","out",22,34,0.427595227342415,0.671,47.3024836229109,-0.538862878772165,0.829826835991416,"T-test","two.sided",0.894,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","calm",-0.0523275,0.0698509615384615,-0.122178461538462,-0.0523275,0.0698509615384615,"z","in","out",4,52,-0.101688972099415,0.925,3.11169042030628,-3.86937869306152,3.62502176998459,"T-test","two.sided",0.963103448275862,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","charming",-0.87351,0.133018846153846,-1.00652884615385,-0.87351,0.133018846153846,"z","in","out",4,52,-2.96454559149833,0.0277,5.54208919888107,-1.85423588802456,-0.158821804283136,"T-test","two.sided",0.3324,"ns","affectionate"
"F8","F8 Proximity Seeking","affectionate","aloof","curious",0.14268,0.0548503846153846,0.0878296153846154,0.14268,0.0548503846153846,"z","in","out",4,52,0.18807307208464,0.86,4.10197436636716,-1.19614904890232,1.37180827967156,"T-test","two.sided",0.938181818181818,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","devoted_loyal",0.15738625,0.0450802083333333,0.112306041666667,0.15738625,0.0450802083333333,"z","in","out",8,48,0.281533273056428,0.783,11.4042035986708,-0.761904025032448,0.986516108365781,"T-test","two.sided",0.918461538461538,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","energetic_exuberant_lively_peppy",0.272911428571429,0.0308685714285714,0.242042857142857,0.272911428571429,0.0308685714285714,"z","in","out",7,49,0.477387716089676,0.646,7.84797033259218,-0.93109057788994,1.41517629217565,"T-test","two.sided",0.894,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","friendly",-0.286984166666667,0.1560625,-0.443046666666667,-0.286984166666667,0.1560625,"z","in","out",12,44,-1.50327861517335,0.142,33.2644089021167,-1.04247853794802,0.156385204614685,"T-test","two.sided",0.64,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","gentle",-0.670782,0.132879411764706,-0.803661411764706,-0.670782,0.132879411764706,"z","in","out",5,51,-2.10745274311162,0.076,6.51742528614007,-1.71910646347663,0.111783639947218,"T-test","two.sided",0.4812,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","loyal",0.33271,0.0285336,0.3041764,0.33271,0.0285336,"z","in","out",6,50,0.700025976102183,0.506,7.32460910948301,-0.714144695973689,1.32249749597369,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","outgoing",0.10028,0.0581119230769231,0.0421680769230769,0.10028,0.0581119230769231,"z","in","out",4,52,0.0621084245500246,0.954,3.44145591582329,-1.96988981332446,2.05422596717061,"T-test","two.sided",0.978461538461538,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","playful",0.3928875,0.00583,0.3870575,0.3928875,0.00583,"z","in","out",8,48,0.73191474954709,0.483,8.8828912179316,-0.81164451054782,1.58575951054782,"T-test","two.sided",0.843157894736842,"ns","neutral"
"F8","F8 Proximity Seeking","affectionate","aloof","smart",0.29525,-0.00965837209302326,0.304908372093023,0.29525,-0.00965837209302326,"z","in","out",13,43,0.913240477906374,0.369,27.5457218139247,-0.379512522654868,0.989329266840915,"T-test","two.sided",0.8,"ns","neutral"
